# Sanskrit syllabaries

pu1-a-1	a fvs1 space a fvs1 mvs a	A - A _ Aa
pu1-a-2	iHag space iHag iHag space ue fvs1 space o ue	A I4 - A I I4 - A U - A O U
pu1-a-3	r iHag space r iHag iHag space l iHag space l iHag iHag	R I4 - R I I4 - L I4 - L I I4
pu1-a-4	ee space ee ee space o w a space o w w a	A W - A W W - A O W A - A O W W A

pu1-ka-1	kHag a space kHag a mvs a	G Aa - G Aa _ Aa
pu1-ka-2	kHag iHag space kHag iHag iHag space kHag ue fvs2 space kHag o ue	G I - G I I4 - G O - G O U
pu1-ka-3	kHag a r iHag space kHag a r iHag iHag	G A R I4 - G A R I I4
pu1-ka-4	kHag a l iHag space kHag a l iHag iHag	G A L I4 - G A L I I4
pu1-ka-5	kHag ee space kHag ee ee space kHag o w a space kHag o w w a	G W - G W W - G O W A - G O W W A

pu1-kha-1	k a space k a mvs a	K Aa - K Aa _ Aa
pu1-kha-2	k iHag space k iHag iHag space k ue fvs2 space k o ue	K I - K I I4 - K O - K O U
pu1-kha-3	k a r iHag space k a r iHag iHag	K A R I4 - K A R I I4
pu1-kha-4	k a l iHag space k a l iHag iHag	K A L I4 - K A L I I4
pu1-kha-5	k ee space k ee ee space k o w a space k o w w a	K W - K W W - K O W A - K O W W A

pu1-ga-1	k2 a space k2 a mvs a	K2 Aa - K2 Aa _ Aa
pu1-ga-2	k2 iHag space k2 iHag iHag space k2 ue fvs2 space k2 o ue	K2 I - K2 I I4 - K2 O - K2 O U
pu1-ga-3	k2 a r iHag space k2 a r iHag iHag	K2 A R I4 - K2 A R I I4
pu1-ga-4	k2 a l iHag space k2 a l iHag iHag	K2 A L I4 - K2 A L I I4
pu1-ga-5	k2 ee space k2 ee ee space k2 o w a space k2 o w w a	K2 W - K2 W W - K2 O W A - K2 O W W A

pu1-gha-1	k2 hh a fvs1 space k2 hh a fvs1 mvs a	K2 Hr Aa - K2 Hr Aa _ Aa
pu1-gha-2	k2 hh iHag space k2 hh iHag iHag	K2 Hr I4 - K2 Hr I I4
pu1-gha-3	k2 hh ue space k2 hh o ue	K2 Hr U - K2 Hr O U
pu1-gha-4	k2 hh a r iHag space k2 hh a r iHag iHag	K2 Hr A R I4 - K2 Hr A R I I4
pu1-gha-5	k2 hh a l iHag space k2 hh a l iHag iHag	K2 Hr A L I4 - K2 Hr A L I I4
pu1-gha-6	k2 hh ee space k2 hh ee ee	K2 Hr W - K2 Hr W W
pu1-gha-7	k2 hh o w a space k2 hh o w w a	K2 Hr O W A - K2 Hr O W W A

pu1-ṅa-1	ngHag a fvs1 space ngHag a fvs1 mvs a	N G Aa - N G Aa _ Aa
pu1-ṅa-2	ngHag iHag space ngHag iHag iHag space ngHag ue fvs3 space ngHag o ue	N G I4 - N G I I4 - N G U - N G O U
