# Sanskrit syllabaries

a-1	a fvs1 space a fvs1 lvs space i space i lvs space ue space ue lvs	A - A Lv - A I3 - A I3 Lv - A U - A U Lv
a-2	r yTag fvs1 space r yTag fvs1 lvs space l yTag fvs1 space l yTag fvs1 lvs	R Ir - R Ir Lv - L Ir - L Ir Lv
a-3	e space e e space o space o o	A E - A E E - A Ob - A Ob Ob

ka-1	kTag a space kTag a lvs space kTag i space kTag i lvs space kTag ue space kTag ue lvs	K2 Aa - K2 A Aa Lv - K2 Ip - K2 Ip Iy Lv - K2 O - K2 O Lv
ka-2	kTag a r yTag fvs1 space kTag a r yTag fvs1 lvs space kTag a l yTag fvs1 space kTag a l yTag fvs1 lvs	K2 A R Ir - K2 A R Ir Lv - K2 A L Ir - K2 A L Ir Lv
ka-3	kTag e space kTag e e space kTag o space kTag o o	K2 E - K2 E E - K2 Ob - K2 Ob Ob

kha-1	khTag a space khTag a lvs space khTag i space khTag i lvs space khTag ue space khTag ue lvs	K Aa - K A Aa Lv - K Ip - K Ip Iy Lv - K O - K O Lv
kha-2	khTag a r yTag fvs1 space khTag a r yTag fvs1 lvs space khTag a l yTag fvs1 space khTag a l yTag fvs1 lvs	K A R Ir - K A R Ir Lv - K A L Ir - K A L Ir Lv
kha-3	khTag e space khTag e e space khTag o space khTag o o	K E - K E E - K Ob - K Ob Ob

ga-1	gTag a space gTag a lvs space gTag i space gTag i lvs space gTag ue space gTag ue lvs	G Aa - G A Aa Lv - G Ip - G Ip Iy Lv - G O - G O Lv
ga-2	gTag a r yTag fvs1 space gTag a r yTag fvs1 lvs space gTag a l yTag fvs1 space gTag a l yTag fvs1 lvs	G A R Ir - G A R Ir Lv - G A L Ir - G A L Ir Lv
ga-3	gTag e space gTag e e space gTag o space gTag o o	G E - G E E - G Ob - G Ob Ob

gha-1	gTag hTag a fvs1 space gTag hTag a fvs1 lvs space gTag hTag i space gTag hTag i lvs space gTag hTag ue space gTag hTag ue lvs	G Hr Aa - G Hr Aa Lv - G Hr I3 - G Hr I3 Lv - G Hr U - G Hr U Lv
gha-2	gTag hTag a r yTag fvs1 space gTag hTag a r yTag fvs1 lvs space gTag hTag a l yTag fvs1 space gTag hTag a l yTag fvs1 lvs	G Hr A R Ir - G Hr A R Ir Lv - G Hr A L Ir - G Hr A L Ir Lv
gha-3	gTag hTag e space gTag hTag e e space gTag hTag o space gTag hTag o o	G Hr E - G Hr E E - G Hr Ob - G Hr Ob Ob

ṅa-1	g fvs3 gTag a space g fvs3 gTag a lvs space g fvs3 gTag a i space g fvs3 gTag a i lvs space g fvs3 gTag a ue space g fvs3 gTag a ue lvs	Hp G Aa - Hp G A Aa Lv - Hp G A I3 - Hp G A I3 Lv - Hp G A U - Hp G A U Lv
ṅa-2	g fvs3 gTag a r yTag fvs1 space g fvs3 gTag a r yTag fvs1 lvs space g fvs3 gTag a l yTag fvs1 space g fvs3 gTag a l yTag fvs1 lvs	Hp G A R Ir - Hp G A R Ir Lv - Hp G A L Ir - Hp G A L Ir Lv
ṅa-3	g fvs3 gTag a e space g fvs3 gTag a e e space g fvs3 gTag a o space g fvs3 gTag a o o	Hp G A E - Hp G A E E - Hp G A Ob - Hp G A Ob Ob

ca-1	j a fvs1 space j a fvs1 lvs space j i space j i lvs space j ue space j ue lvs	Cp Aa - Cp Aa Lv - Cp I3 - Cp I3 Lv - Cp U - Cp U Lv
ca-2	j a r yTag fvs1 space j a r yTag fvs1 lvs space j a l yTag fvs1 space j a l yTag fvs1 lvs	Cp A R Ir - Cp A R Ir Lv - Cp A L Ir - Cp A L Ir Lv
ca-3	j e space j e e space j o space j o o	Cp E - Cp E E - Cp Ob - Cp Ob Ob

cha-1	chTag a fvs1 space chTag a fvs1 lvs space chTag i space chTag i lvs space chTag ue space chTag ue lvs	C Aa - C Aa Lv - C I3 - C I3 Lv - C U - C U Lv
cha-2	chTag a r yTag fvs1 space chTag a r yTag fvs1 lvs space chTag a l yTag fvs1 space chTag a l yTag fvs1 lvs	C A R Ir - C A R Ir Lv - C A L Ir - C A L Ir Lv
cha-3	chTag e space chTag e e space chTag o space chTag o o	C E - C E E - C Ob - C Ob Ob

ja-1	jTag fvs1 a fvs1 space jTag fvs1 a fvs1 lvs space jTag fvs1 i space jTag fvs1 i lvs space jTag fvs1 ue space jTag fvs1 ue lvs	Zc Aa - Zc Aa Lv - Zc I3 - Zc I3 Lv - Zc U - Zc U Lv
ja-2	jTag fvs1 a r yTag fvs1 space jTag fvs1 a r yTag fvs1 lvs space jTag fvs1 a l yTag fvs1 space jTag fvs1 a l yTag fvs1 lvs	Zc A R Ir - Zc A R Ir Lv - Zc A L Ir - Zc A L Ir Lv
ja-3	jTag fvs1 e space jTag fvs1 e e space jTag fvs1 o space jTag fvs1 o o	Zc E - Zc E E - Zc Ob - Zc Ob Ob

jha-1	jTag fvs1 hTag a fvs1 space jTag fvs1 hTag a fvs1 lvs space jTag fvs1 hTag i space jTag fvs1 hTag i lvs space jTag fvs1 hTag ue space jTag fvs1 hTag ue lvs	Zc Hr Aa - Zc Hr Aa Lv - Zc Hr I3 - Zc Hr I3 Lv - Zc Hr U - Zc Hr U Lv
jha-2	jTag fvs1 hTag a r yTag fvs1 space jTag fvs1 hTag a r yTag fvs1 lvs space jTag fvs1 hTag a l yTag fvs1 space jTag fvs1 hTag a l yTag fvs1 lvs	Zc Hr A R Ir - Zc Hr A R Ir Lv - Zc Hr A L Ir - Zc Hr A L Ir Lv
jha-3	jTag fvs1 hTag e space jTag fvs1 hTag e e space jTag fvs1 hTag o space jTag fvs1 hTag o o	Zc Hr E - Zc Hr E E - Zc Hr Ob - Zc Hr Ob Ob

ña-1	ny a fvs1 space ny a fvs1 lvs space ny i space ny i lvs space ny ue space ny ue lvs	Ny Aa - Ny Aa Lv - Ny I3 - Ny I3 Lv - Ny U - Ny U Lv
ña-2	ny a r yTag fvs1 space ny a r yTag fvs1 lvs space ny a l yTag fvs1 space ny a l yTag fvs1 lvs	Ny A R Ir - Ny A R Ir Lv - Ny A L Ir - Ny A L Ir Lv
ña-3	ny e space ny e e space ny o space ny o o	Ny E - Ny E E - Ny Ob - Ny Ob Ob

ṭa-1	trTag a fvs1 space trTag a fvs1 lvs space trTag i space trTag i lvs space trTag ue space trTag ue lvs	Zr Aa - Zr Aa Lv - Zr I3 - Zr I3 Lv - Zr U - Zr U Lv
ṭa-2	trTag a r yTag fvs1 space trTag a r yTag fvs1 lvs space trTag a l yTag fvs1 space trTag a l yTag fvs1 lvs	Zr A R Ir - Zr A R Ir Lv - Zr A L Ir - Zr A L Ir Lv
ṭa-3	trTag e space trTag e e space trTag o space trTag o o	Zr E - Zr E E - Zr Ob - Zr Ob Ob

ṭha-1	trhTag a fvs1 space trhTag a fvs1 lvs space trhTag i space trhTag i lvs space trhTag ue space trhTag ue lvs	Cr2 Aa - Cr2 Aa Lv - Cr2 I3 - Cr2 I3 Lv - Cr2 U - Cr2 U Lv
ṭha-2	trhTag a r yTag fvs1 space trhTag a r yTag fvs1 lvs space trhTag a l yTag fvs1 space trhTag a l yTag fvs1 lvs	Cr2 A R Ir - Cr2 A R Ir Lv - Cr2 A L Ir - Cr2 A L Ir Lv
ṭha-3	trhTag e space trhTag e e space trhTag o space trhTag o o	Cr2 E - Cr2 E E - Cr2 Ob - Cr2 Ob Ob

ḍa-1	drTag fvs1 a fvs1 space drTag fvs1 a fvs1 lvs space drTag fvs1 i space drTag fvs1 i lvs space drTag fvs1 ue space drTag fvs1 ue lvs	Ds2 Aa - Ds2 Aa Lv - Ds2 I3 - Ds2 I3 Lv - Ds2 U - Ds2 U Lv
ḍa-2	drTag fvs1 a r yTag fvs1 space drTag fvs1 a r yTag fvs1 lvs space drTag fvs1 a l yTag fvs1 space drTag fvs1 a l yTag fvs1 lvs	Ds2 A R Ir - Ds2 A R Ir Lv - Ds2 A L Ir - Ds2 A L Ir Lv
ḍa-3	drTag fvs1 e space drTag fvs1 e e space drTag fvs1 o space drTag fvs1 o o	Ds2 E - Ds2 E E - Ds2 Ob - Ds2 Ob Ob

ḍha-1	drTag fvs1 hTag a fvs1 space drTag fvs1 hTag a fvs1 lvs space drTag fvs1 hTag i space drTag fvs1 hTag i lvs space drTag fvs1 hTag ue space drTag fvs1 hTag ue lvs	Ds2 Hr Aa - Ds2 Hr Aa Lv - Ds2 Hr I3 - Ds2 Hr I3 Lv - Ds2 Hr U - Ds2 Hr U Lv
ḍha-2	drTag fvs1 hTag a r yTag fvs1 space drTag fvs1 hTag a r yTag fvs1 lvs space drTag fvs1 hTag a l yTag fvs1 space drTag fvs1 hTag a l yTag fvs1 lvs	Ds2 Hr A R Ir - Ds2 Hr A R Ir Lv - Ds2 Hr A L Ir - Ds2 Hr A L Ir Lv
ḍha-3	drTag fvs1 hTag e space drTag fvs1 hTag e e space drTag fvs1 hTag o space drTag fvs1 hTag o o	Ds2 Hr E - Ds2 Hr E E - Ds2 Hr Ob - Ds2 Hr Ob Ob

ṇa-1	nrTag a fvs1 space nrTag a fvs1 lvs space nrTag i space nrTag i lvs space nrTag ue space nrTag ue lvs	Wn Aa - Wn Aa Lv - Wn I3 - Wn I3 Lv - Wn U - Wn U Lv
ṇa-2	nrTag a r yTag fvs1 space nrTag a r yTag fvs1 lvs space nrTag a l yTag fvs1 space nrTag a l yTag fvs1 lvs	Wn A R Ir - Wn A R Ir Lv - Wn A L Ir - Wn A L Ir Lv
ṇa-3	nrTag e space nrTag e e space nrTag o space nrTag o o	Wn E - Wn E E - Wn Ob - Wn Ob Ob

ta-1	tTag a fvs1 space tTag a fvs1 lvs space tTag i space tTag i lvs space tTag ue space tTag ue lvs	Dv Aa - Dv Aa Lv - Dv I3 - Dv I3 Lv - Dv U - Dv U Lv
ta-2	tTag a r yTag fvs1 space tTag a r yTag fvs1 lvs space tTag a l yTag fvs1 space tTag a l yTag fvs1 lvs	Dv A R Ir - Dv A R Ir Lv - Dv A L Ir - Dv A L Ir Lv
ta-3	tTag e space tTag e e space tTag o space tTag o o	Dv E - Dv E E - Dv Ob - Dv Ob Ob

tha-1	t a fvs1 space t a fvs1 lvs space t i space t i lvs space t ue space t ue lvs	Tp Aa - Tp Aa Lv - Tp I3 - Tp I3 Lv - Tp U - Tp U Lv
tha-2	t a r yTag fvs1 space t a r yTag fvs1 lvs space t a l yTag fvs1 space t a l yTag fvs1 lvs	Tp A R Ir - Tp A R Ir Lv - Tp A L Ir - Tp A L Ir Lv
tha-3	t e space t e e space t o space t o o	Tp E - Tp E E - Tp Ob - Tp Ob Ob

da-1	d a fvs1 space d a fvs1 lvs space d i space d i lvs space d ue space d ue lvs	Dp Aa - Dp Aa Lv - Dp I3 - Dp I3 Lv - Dp U - Dp U Lv
da-2	d a r yTag fvs1 space d a r yTag fvs1 lvs space d a l yTag fvs1 space d a l yTag fvs1 lvs	Dp A R Ir - Dp A R Ir Lv - Dp A L Ir - Dp A L Ir Lv
da-3	d e space d e e space d o space d o o	Dp E - Dp E E - Dp Ob - Dp Ob Ob

dha-1	d hTag a fvs1 space d hTag a fvs1 lvs space d hTag i space d hTag i lvs space d hTag ue space d hTag ue lvs	Dp Hr Aa - Dp Hr Aa Lv - Dp Hr I3 - Dp Hr I3 Lv - Dp Hr U - Dp Hr U Lv
dha-2	d hTag a r yTag fvs1 space d hTag a r yTag fvs1 lvs space d hTag a l yTag fvs1 space d hTag a l yTag fvs1 lvs	Dp Hr A R Ir - Dp Hr A R Ir Lv - Dp Hr A L Ir - Dp Hr A L Ir Lv
dha-3	d hTag e space d hTag e e space d hTag o space d hTag o o	Dp Hr E - Dp Hr E E - Dp Hr Ob - Dp Hr Ob Ob

na-1	n a fvs1 space n a fvs1 lvs space n i space n i lvs space n ue space n ue lvs	N Aa - N Aa Lv - N I3 - N I3 Lv - N U - N U Lv
na-2	n a r yTag fvs1 space n a r yTag fvs1 lvs space n a l yTag fvs1 space n a l yTag fvs1 lvs	N A R Ir - N A R Ir Lv - N A L Ir - N A L Ir Lv
na-3	n e space n e e space n o space n o o	N E - N E E - N Ob - N Ob Ob

pa-1	pTag fvs1 a space pTag fvs1 a lvs space pTag fvs1 i space pTag fvs1 i lvs space pTag fvs1 ue space pTag fvs1 ue lvs	Bh Aa - Bh A Aa Lv - Bh Ip - Bh Ip Iy Lv - Bh O - Bh O Lv
pa-2	pTag fvs1 a r yTag fvs1 space pTag fvs1 a r yTag fvs1 lvs space pTag fvs1 a l yTag fvs1 space pTag fvs1 a l yTag fvs1 lvs	Bh A R Ir - Bh A R Ir Lv - Bh A L Ir - Bh A L Ir Lv
pa-3	pTag fvs1 e space pTag fvs1 e e space pTag fvs1 o space pTag fvs1 o o	Bh E - Bh E E - Bh Ob - Bh Ob Ob

pha-1	p fvs1 a space p fvs1 a lvs space p fvs1 i space p fvs1 i lvs space p fvs1 ue space p fvs1 ue lvs	Ph Aa - Ph A Aa Lv - Ph Ip - Ph Ip Iy Lv - Ph O - Ph O Lv
pha-2	p fvs1 a r yTag fvs1 space p fvs1 a r yTag fvs1 lvs space p fvs1 a l yTag fvs1 space p fvs1 a l yTag fvs1 lvs	Ph A R Ir - Ph A R Ir Lv - Ph A L Ir - Ph A L Ir Lv
pha-3	p fvs1 e space p fvs1 e e space p fvs1 o space p fvs1 o o	Ph E - Ph E E - Ph Ob - Ph Ob Ob

ba-1	b a space b a lvs space b i space b i lvs space b ue space b ue lvs	B Aa - B A Aa Lv - B Ip - B Ip Iy Lv - B O - B O Lv
ba-2	b a r yTag fvs1 space b a r yTag fvs1 lvs space b a l yTag fvs1 space b a l yTag fvs1 lvs	B A R Ir - B A R Ir Lv - B A L Ir - B A L Ir Lv
ba-3	b e space b e e space b o space b o o	B E - B E E - B Ob - B Ob Ob

